Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
4.205,21.3,50.88,0.65,0.37,0.63,25.94,22.19,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.24,51.0,0.62,0.37,0.6,26.13,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.4,51.25,0.63,0.4,0.62,26.19,22.19,21.25,0.0,0.0,24.25,23.75,23.0,
4.207,21.4,51.12,0.65,0.38,0.63,26.25,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.3,51.74,0.65,0.36,0.63,26.38,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.3,51.86,0.64,0.38,0.65,26.38,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.207,21.3,51.86,0.63,0.36,0.6,26.44,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.43,51.98,0.66,0.37,0.63,26.5,22.13,21.25,0.0,0.0,24.25,23.75,23.25,
4.207,21.33,52.59,0.63,0.37,0.66,26.63,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.27,52.59,0.65,0.33,0.65,26.69,22.13,21.25,0.0,0.0,24.25,23.5,23.0,
4.205,21.3,52.71,0.62,0.4,0.62,26.69,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.4,52.96,0.62,0.36,0.62,26.69,22.13,21.25,0.0,0.0,24.25,23.75,23.25,
4.205,21.24,53.2,0.64,0.44,0.64,26.63,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.204,21.4,53.45,0.65,0.35,0.62,26.63,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.204,21.33,53.69,0.62,0.4,0.63,26.63,22.13,21.25,0.0,0.0,24.25,23.75,23.0,
4.204,21.33,53.69,0.59,0.36,0.64,26.63,22.06,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.33,53.81,0.62,0.36,0.62,26.63,22.06,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.24,54.3,0.62,0.37,0.65,26.63,22.06,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.21,54.42,0.65,0.38,0.6,26.63,22.06,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.21,54.42,0.65,0.38,0.6,26.63,22.06,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.27,54.42,0.64,0.36,0.62,26.63,22.06,21.25,0.0,0.0,24.25,23.75,23.0,
4.204,21.27,54.67,0.65,0.35,0.63,26.56,22.06,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.21,54.42,0.62,0.35,0.6,26.56,22.06,21.25,0.0,0.0,24.25,23.75,23.25,
4.205,21.27,54.55,0.62,0.36,0.6,26.56,22.06,21.25,0.0,0.0,24.25,23.75,23.25,
4.205,21.36,54.55,0.6,0.35,0.6,26.56,22.06,21.25,0.0,0.0,24.25,23.75,23.25,
4.205,21.3,54.67,0.64,0.36,0.64,26.56,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.205,21.4,54.67,0.64,0.37,0.63,26.5,22.0,21.25,0.0,0.0,24.25,23.75,23.25,
4.205,21.33,54.67,0.62,0.4,0.6,26.5,22.0,21.19,0.0,0.0,24.25,23.75,23.0,
4.205,21.36,54.79,0.62,0.35,0.62,26.5,22.0,21.25,0.0,0.0,24.25,23.75,23.25,
4.204,21.24,54.67,0.63,0.33,0.63,26.5,22.0,21.25,0.0,0.0,24.25,23.75,23.25,
4.205,21.3,54.79,0.58,0.33,0.6,26.5,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.229,21.3,54.79,0.63,0.37,0.64,26.5,22.0,21.25,0.0,0.0,24.25,23.75,23.25,
3.284,21.3,54.79,0.6,0.36,0.64,26.5,22.0,21.25,0.0,0.0,24.25,23.75,23.25,
4.131,21.21,54.67,0.63,0.35,0.62,26.44,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.229,21.3,54.55,0.63,0.37,0.65,26.44,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.223,21.33,54.42,0.63,0.38,0.63,26.44,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.3,54.18,0.6,0.3,0.63,26.44,22.0,21.19,0.0,0.0,24.25,23.75,23.25,
4.206,21.43,54.06,0.62,0.35,0.6,26.44,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.465,21.49,53.81,0.6,0.35,0.62,26.44,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.54,21.36,53.45,0.63,0.37,0.65,26.38,22.0,21.19,0.0,0.0,24.25,23.75,23.25,
4.54,21.36,53.45,0.63,0.37,0.65,26.38,22.0,21.19,0.0,0.0,24.25,23.75,23.25,
4.206,21.4,53.69,0.63,0.37,0.62,26.38,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.3,53.08,0.62,0.36,0.62,26.38,22.0,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.4,52.83,0.62,0.33,0.62,26.38,22.0,21.25,0.0,0.0,24.25,23.75,23.25,
4.206,21.3,52.83,0.63,0.36,0.65,26.38,21.94,21.25,0.0,0.0,24.25,23.75,23.0,
4.206,21.27,52.22,0.62,0.36,0.63,26.38,21.94,21.25,0.0,0.0,24.25,23.75,23.0,
4.199,21.33,52.47,0.62,0.36,0.64,26.38,21.94,21.25,0.0,0.0,24.25,23.75,23.0,
4.2,21.3,52.22,0.64,0.33,0.64,26.31,21.94,21.19,0.0,0.0,24.25,23.75,23.25,
4.199,21.36,51.98,0.69,0.36,0.64,26.31,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.4,51.98,0.65,0.37,0.66,26.31,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.36,52.1,0.63,0.36,0.62,26.31,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.3,51.98,0.65,0.35,0.66,26.31,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
4.2,21.24,51.86,0.62,0.37,0.64,26.31,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.21,51.61,0.69,0.35,0.63,26.31,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
4.199,21.4,51.61,0.65,0.33,0.64,26.31,21.94,21.19,0.0,0.0,24.25,23.5,23.0,
4.199,21.36,51.74,0.64,0.36,0.64,26.25,21.94,21.19,0.0,0.0,24.25,23.75,23.0,
